player_name,team_abbreviation,age,player_height,player_weight,draft_year,gp,pts,reb,ast,usg_pct,ts_pct,ast_pct,season
Joel Embiid,PHI,29,213.36,127.00576000000001,2014,66,33.1,10.2,4.2,0.37,0.655,0.233,2022-23
Luka Doncic,DAL,24,200.66,104.32616,2018,66,32.4,8.6,8,0.368,0.609,0.408,2022-23
Damian Lillard,POR,32,187.96,88.45044,2012,58,32.2,4.8,7.3,0.331,0.645,0.33799999999999997,2022-23
Shai Gilgeous-Alexander,OKC,24,198.12,88.45044,2018,68,31.4,4.8,5.5,0.318,0.626,0.249,2022-23
Giannis Antetokounmpo,MIL,28,213.36,110.22285600000001,2013,63,31.1,11.8,5.7,0.373,0.605,0.314,2022-23
Jayson Tatum,BOS,25,203.2,95.25432,2017,74,30.1,8.8,4.6,0.319,0.607,0.205,2022-23
Stephen Curry,GSW,35,187.96,83.91452,2009,56,29.4,6.1,6.3,0.297,0.6559999999999999,0.27399999999999997,2022-23
Kevin Durant,PHX,34,208.28,108.86208,2007,47,29.1,6.7,5,0.305,0.677,0.228,2022-23
LeBron James,LAL,38,205.74,113.398,2003,55,28.9,8.3,6.8,0.322,0.583,0.308,2022-23
Donovan Mitchell,CLE,26,185.42,97.52228000000001,2017,68,28.3,4.3,4.4,0.31,0.614,0.205,2022-23
Devin Booker,PHX,26,195.58,93.439952,2015,53,27.8,4.5,5.5,0.311,0.601,0.251,2022-23
Kyrie Irving,DAL,31,187.96,88.45044,2011,60,27.1,5.1,5.5,0.28600000000000003,0.613,0.233,2022-23
Jaylen Brown,BOS,26,198.12,101.151016,2016,67,26.6,6.9,3.5,0.307,0.581,0.163,2022-23
Trae Young,ATL,24,185.42,74.389088,2018,73,26.2,3,10.2,0.313,0.573,0.414,2022-23
Ja Morant,MEM,23,187.96,78.92500799999999,2019,61,26.2,5.9,8.1,0.33799999999999997,0.557,0.41200000000000003,2022-23
Zion Williamson,NOP,22,198.12,128.820128,2019,29,26,7,4.6,0.28800000000000003,0.652,0.231,2022-23
Anthony Davis,LAL,30,208.28,114.758776,2012,56,25.9,12.5,2.6,0.27699999999999997,0.627,0.128,2022-23
Lauri Markkanen,UTA,26,213.36,108.86208,2017,66,25.6,8.6,1.9,0.259,0.6409999999999999,0.086,2022-23
Julius Randle,NYK,28,203.2,113.398,2014,77,25.1,10,4.1,0.28800000000000003,0.581,0.184,2022-23
De'Aaron Fox,SAC,25,190.5,83.91452,2017,73,25,4.2,6.1,0.28800000000000003,0.599,0.281,2022-23
Zach LaVine,CHI,28,195.58,90.7184,2014,77,24.8,4.5,4.2,0.278,0.607,0.187,2022-23
Brandon Ingram,NOP,25,203.2,86.18248,2016,45,24.7,5.5,5.8,0.306,0.5820000000000001,0.27699999999999997,2022-23
Anthony Edwards,MIN,21,193.04,102.0582,2020,79,24.6,5.8,4.4,0.292,0.564,0.192,2022-23
DeMar DeRozan,CHI,33,198.12,99.79024,2009,74,24.5,4.6,5.1,0.272,0.5920000000000001,0.222,2022-23
Nikola Jokic,DEN,28,210.82,128.820128,2014,69,24.5,11.8,9.8,0.263,0.701,0.41200000000000003,2022-23
Pascal Siakam,TOR,29,203.2,104.32616,2016,71,24.2,7.8,5.8,0.27,0.565,0.244,2022-23
